DE_gene,logFC,AveExpr,t,P.Value
MSTRG.21434|CXXC5,-1.055775581,4.528248638,-5.004385742,0.000566062
MSTRG.24610|CTSB,0.656342263,6.647623682,4.804495685,0.000759007
MSTRG.15377|AC079586.1,-1.022497358,4.786626359,-4.624696883,0.000993015
MSTRG.26166|TMEM38B,-0.775196393,5.519546336,-4.377667679,0.001447343
SLC25A36,-1.669239973,4.479419633,-4.869521927,0.000689498
MSTRG.2558|COX20,0.739517839,4.523994427,4.462055807,0.001271325
MSTRG.13678|AD001527.4|TBCB,0.652242389,4.162513599,4.69006896,0.000900096
MSTRG.17968|GRIP2,-0.609589378,6.189190952,-4.110698844,0.002195586
MSTRG.4236|ATG13,-0.632884042,4.308521044,-4.229452087,0.001821897
MSTRG.10137|MMP2|RP11-212I21.3,1.091425436,5.748878944,3.945533598,0.002854957
MSTRG.12257|SEPT9,0.883441007,4.491219102,4.221359339,0.001845097
MSTRG.23616|IGFBP3,0.915357721,3.907803125,4.339129848,0.001536147
MSTRG.1838|IFI16,0.922999869,4.107424848,4.138361508,0.002101852
MSTRG.17814|TUBGCP6,-0.432011961,4.957156391,-3.586865542,0.005109231
MSTRG.18343|ARIH2,-0.551191363,6.792342469,-3.759865575,0.003851311
MSTRG.13008|AP3D1,-0.321203009,5.593712612,-3.521651478,0.005688551
MSTRG.22872|GJA1,0.865715345,3.777599473,4.244194021,0.001780423
MSTRG.25605|ERMP1,-0.869822777,3.315770571,-4.80007268,0.000763998
MSTRG.1305|PRPF38B,0.663760019,3.825447941,3.938547915,0.002887069
MSTRG.25091|FABP4,0.663694949,4.886138564,3.415925194,0.006776906
MSTRG.2651|ITIH5,0.556665695,5.492747621,3.338337903,0.00771127
MSTRG.4726|RNF169,-0.733686292,3.316170807,-4.926836544,0.00063385
MSTRG.454|CNKSR1,-0.444770117,5.70046338,-3.327678845,0.007849663
MSTRG.1772|FAM189B,-0.423846295,3.637147647,-4.096685069,0.002244743
MSTRG.5365|PTMS,0.89707945,4.27172665,3.692881693,0.004294948
MSTRG.4456|EHD1,0.465124777,4.37366483,3.49196664,0.005974465
MSTRG.17581|APOL2,0.475064141,3.783158696,3.900647789,0.003068024
MSTRG.15291|ACTR3,0.374202501,5.072336865,3.288420328,0.008381865
MSTRG.13510|SUGP2,-0.412610158,5.823960189,-3.286800533,0.008404607
MSTRG.21451|SLC35A4,-0.585597615,5.543943863,-3.270898436,0.008631271
MSTRG.24163|CAV1,0.904774668,6.333785668,3.34446364,0.007632878
MSTRG.10361|AARS,-0.317725263,5.6994196,-3.252134013,0.008906851
MSTRG.18392|SLC38A3,-0.590362309,5.047088486,-3.269603919,0.008649998
MSTRG.1684|S100A10,0.635610948,4.712895822,3.367852508,0.007341059
MSTRG.23319|FAM220A,-0.341796783,5.308016861,-3.221395486,0.009378006
MSTRG.26272|DAB2IP,-0.679126742,5.194580761,-3.221077175,0.009383017
MSTRG.67|CCNL2,0.395724623,5.760203,3.215490928,0.009471405
MSTRG.4294|SMTNL1,-0.794089872,7.370548734,-3.44057739,0.006505194
MSTRG.1057|GNG12,0.434733979,4.354726849,3.371833774,0.007292544
MSTRG.22810|LAMA4,0.720826391,5.016560607,3.209121327,0.009573233
MSTRG.6480|TPCN1,-0.872838512,4.735792593,-3.28669035,0.008406156
MSTRG.11116|ULK2,-0.401220539,4.361121713,-3.308077451,0.008110887
MSTRG.25489|OPLAH,-0.376808058,4.888369168,-3.199959153,0.00972168
MSTRG.6410|ANKRD13A,0.658055053,3.607739356,3.868259985,0.003232084
MSTRG.8081|MEG3|MEG3_2,0.679017619,5.24487562,3.183374312,0.009996432
MSTRG.7210|COL4A2,0.863714854,6.533741016,3.249062482,0.008952816
MSTRG.5352|RP5-940J5.9,-0.657353002,7.222826372,-3.343111186,0.007650115
MSTRG.13453|PLVAP,0.774850336,4.45007687,3.306994417,0.008125579
MSTRG.6262|NTN4,0.488722636,4.086108898,3.486774934,0.006025982
MSTRG.14541|FOSL2,0.608403927,4.909024803,3.20762751,0.009597276
COL3A1,1.79094558,7.708459835,3.342851175,0.007653433
MSTRG.20758|MOCS2,-0.476522424,5.12157191,-3.115437249,0.011207698
MSTRG.21605|SPARC,1.005308441,8.212653669,3.441483849,0.006495421
MSTRG.12450|YES1,0.367475537,3.999849543,3.417307361,0.006761366
MSTRG.6354|CKAP4,0.688686583,3.499308966,4.093380218,0.002256504
MSTRG.22319|TEAD3,-0.382304947,4.602843713,-3.138012717,0.010789343
MSTRG.13964|CALM3,-0.90120191,5.913635944,-3.083562501,0.011826833
MSTRG.15735|COL5A2,1.046155199,4.808481676,3.157495987,0.010441163
MSTRG.11579|PSME3,-0.526561419,4.302031535,-3.194431174,0.009812387
MSTRG.12368|MAFG|SIRT7,-0.953775907,4.551374673,-3.131006039,0.010917447
MSTRG.26323|GAPVD1,-0.567539269,4.346342272,-3.174635023,0.010144406
MSTRG.22515|ELOVL5,0.510381196,3.470920111,3.920432336,0.002972123
MSTRG.20850|MAST4,0.476178881,3.640594499,3.584483998,0.005129269
MSTRG.26588|PNPLA7,-0.331507622,4.392276847,-3.131295796,0.010912118
MSTRG.425|CLIC4,0.441454747,5.79462098,3.006100283,0.013481293
MSTRG.1985|SLC19A2,-0.966776592,5.629297869,-3.019047675,0.013189149
MSTRG.11510|IGFBP4,0.656048352,5.520614079,2.996971023,0.01369124
MSTRG.19638|LDB2,0.441666826,3.657195994,3.527412584,0.005634728
MSTRG.12137|SOX9-AS1,-0.486316635,3.676792097,-3.511513671,0.005784563
MSTRG.25754|CNTFR,-0.392072312,4.702657825,-3.021790902,0.013128084
MSTRG.1800|ARHGEF2,0.43095519,4.34342319,3.142557216,0.010707079
MSTRG.18726|CCDC80,1.12140955,5.032573112,3.067779122,0.012146246
MSTRG.27567|UTY,-0.341916471,4.229391381,-3.148035775,0.010608762
MSTRG.21215|DTWD2,-0.422512833,3.955629671,-3.24481734,0.009016745
MSTRG.3070|SRGN,0.630587891,3.278192191,4.077796179,0.002312842
MSTRG.5958|RNF41,-0.384039378,4.650837011,-2.981232849,0.014061024
MSTRG.27153|ITM2A,0.510591731,4.625978279,2.997693794,0.013674498
MSTRG.25606|KIAA2026,-0.682928995,4.333249071,-3.090754193,0.011684152
MSTRG.3007|FAM13C,0.723019182,3.512003242,3.662120467,0.004516253
MSTRG.15312|PTPN4,-0.395923205,4.327236972,-3.046897543,0.012582422
MSTRG.1694|S100A16,0.772215373,3.434692355,3.856877132,0.003291906
MSTRG.36|LINC01128,-0.531420325,6.094333549,-2.928341067,0.01537988
MSTRG.8010|LGMN,0.476747175,4.638430643,2.9957272,0.013720101
MSTRG.3331|ANKRD1,0.802116463,6.968738436,2.947542251,0.01488715
MSTRG.22334|BRPF3,-0.37525112,4.248279679,-3.015338426,0.013272178
MSTRG.14662|PKDCC,-0.607206613,5.764498947,-2.86818143,0.017033441
MSTRG.6657|FAM101A|RP11-214K3.24|RP11-214K3.25|ZNF664,-0.943377557,5.623659654,-2.872241906,0.01691637
MSTRG.13337|RAD23A,-0.365511388,7.331562816,-3.044350305,0.012636712
MSTRG.25751|FAM219A,-0.420856145,4.449538288,-2.948909242,0.014852689
MSTRG.15013|KCMF1,-0.326529914,6.135848705,-2.88893686,0.016443518
MSTRG.8117|TNFAIP2,0.672117868,4.087410207,3.192148936,0.009850089
MSTRG.11450|SOCS7,-1.453362833,4.098453197,-3.310511562,0.008077966
MSTRG.16038|SPEG,-0.427765516,8.184770739,-3.150679523,0.010561649
MSTRG.26509|COL5A1,1.250047283,4.890586888,2.962179098,0.014522342
MSTRG.6207|LUM,1.162872194,5.103372728,2.913029155,0.015784649
MSTRG.11588|BRCA1|RP11-242D8.1,-0.414200393,3.808674413,-3.184038161,0.009985283
MSTRG.18642|CLDND1|CPOX,-0.351969539,4.983686165,-2.838522078,0.017913812
MSTRG.24793|BRF2,-0.965560922,3.449319495,-3.51401453,0.005760723
MSTRG.13931|RTN2,-0.354047391,6.679574564,-2.919226008,0.015619549
MSTRG.23520|FKBP9,0.415570995,4.842296924,2.832815204,0.018088414
MSTRG.15012|TMSB10,0.602731919,5.953443837,2.815970477,0.018613868
MSTRG.8728|ANXA2,0.676515134,5.98503814,2.8117894,0.018746662
MSTRG.4221|CRY2,-0.394647013,6.680330061,-2.881970935,0.016639165
MSTRG.21142|MAN2A1,-0.564393474,3.536867545,-3.400301262,0.006955168
MSTRG.23325|ZNF853,-0.365982158,4.435726321,-2.866533059,0.017081201
MSTRG.25399|ASAP1,0.578635491,4.28011083,2.993038737,0.013782695
MSTRG.7862|MIR4709|NPC2,0.477183106,3.670337718,3.345729031,0.007616788
MSTRG.15277|SLC20A1,0.622434149,3.502344347,3.598448179,0.005012929
MSTRG.373|ECE1,0.418537166,4.861952208,2.803975243,0.018997414
MSTRG.10523|USP10,-0.411599332,5.079180663,-2.781773566,0.019728466
MSTRG.26946|TIMM17B,-0.301394242,4.561941367,-2.848229675,0.017620711
MSTRG.3237|POLR3A,-0.339690911,4.373149004,-2.871236668,0.016945277
MSTRG.21663|RNF145,0.398044135,3.746861522,3.167818772,0.010261377
MSTRG.22820|MARCKS,0.531457775,4.47434964,2.860054956,0.017270212
MSTRG.1290|S1PR1,0.434792794,4.226940716,2.909950316,0.015867334
MSTRG.22524|MLIP|RP11-411K7.1,-0.520848521,7.04378264,-2.898482897,0.016179184
MSTRG.16652|PLCG1|RPL23AP81,0.359943707,5.028235607,2.767351201,0.020218484
MSTRG.7463|CFL2,-0.545107844,8.249687243,-3.059646839,0.012314248
MSTRG.26419|C9orf114,-0.676324938,4.1884118,-2.987920958,0.013902654
MSTRG.26736|TMSB4X,0.584980446,6.722876865,2.837740645,0.017937619
MSTRG.16448|CD93,0.397385788,6.018155681,2.775666281,0.019934492
MSTRG.12151|GPRC5C,-0.594815997,4.352699963,-2.862725126,0.01719205
MSTRG.20695|TTC33,-0.361278256,4.1816753,-2.880316842,0.016685968
MSTRG.20692|C9|DAB2,0.618172227,4.579030496,2.854943484,0.017420842
MSTRG.19227|SKIL,-0.458004239,4.492165891,-2.812258778,0.018731707
