ensgene,logFC,AveExpr,t,P.Value,adj.P.Val,B,DEgene,Test
SAA1,2.622059075,1.172459392,3.243449926,0.009037437,0.644422244,-4.406032965,SAA1,TRUE
POSTN,2.38360109,2.61093557,2.92107107,0.015570732,0.644422244,-4.212222297,POSTN,TRUE
IGF1,2.270378739,1.214056685,2.219767491,0.051216169,0.645239148,-4.4332537,IGF1,MIDDLE
THY1,2.251624274,2.659934192,3.64015069,0.004681565,0.644422244,-4.097273563,THY1,TRUE
SERPINE1,2.249744972,1.675171744,3.618797378,0.004848288,0.644422244,-4.298620783,SERPINE1,TRUE
PLA2G2A,2.228343348,-0.250570175,2.363389205,0.040183803,0.644422244,-4.497550653,PLA2G2A,TRUE
ADAMTS2,2.17102974,1.909029628,4.412034949,0.001372729,0.644422244,-4.158795289,ADAMTS2,TRUE
IKBKG,2.139751382,0.410738306,1.764130877,0.108766551,0.676847611,-4.533955138,IKBKG,MIDDLE
LAD1|TNNT2,1.97996705,1.915434854,2.396023279,0.03802136,0.644422244,-4.402609123,LAD1|TNNT2,TRUE
NGFR,1.897305996,0.830810444,3.031191443,0.012921002,0.644422244,-4.38994736,NGFR,TRUE
MXRA5,1.872698917,3.489438295,3.173298731,0.010167229,0.644422244,-4.023260136,MXRA5,TRUE
DOCK11,1.815143326,0.60815876,2.277294067,0.046482542,0.644422244,-4.481410005,DOCK11,TRUE
MYBPH,1.811788486,3.534552813,2.381561781,0.038965166,0.644422244,-4.297718341,MYBPH,TRUE
COL3A1,1.79094558,7.708459835,3.342851175,0.007653433,0.644422244,-3.770770458,COL3A1,TRUE
COL1A1,1.771376463,6.199785957,2.661240639,0.024220443,0.644422244,-3.970004601,COL1A1,TRUE
VIPR1,1.758926493,0.106063311,1.971088665,0.077565387,0.671947883,-4.513883487,VIPR1,MIDDLE
SCD,1.756503091,3.366880512,3.144210411,0.010677313,0.644422244,-4.088808624,SCD,TRUE
SFRP2,1.753889387,1.327474524,1.645594618,0.131465886,0.677679199,-4.526048503,SFRP2,MIDDLE
PTPRF,1.750710724,1.193065226,2.335859641,0.042101323,0.644422244,-4.440357263,PTPRF,TRUE
CRABP2,1.750626246,0.133236141,1.892069322,0.088336373,0.676612662,-4.521052019,CRABP2,MIDDLE
OGN,1.726257444,2.552710927,2.783223111,0.019679882,0.644422244,-4.242477463,OGN,TRUE
CNBD2,1.724312592,1.373663602,2.050864319,0.067954464,0.661848022,-4.44375535,CNBD2,MIDDLE
ASPN,1.720188047,3.530218893,3.222284587,0.009364024,0.644422244,-4.021958427,ASPN,TRUE
LOX,1.70775535,1.288798669,3.409938762,0.006844643,0.644422244,-4.297451436,LOX,TRUE
TMEM119,1.662494398,0.745112283,2.897323722,0.016211051,0.644422244,-4.400744401,TMEM119,TRUE
CTHRC1,1.63559361,0.815462111,2.620225181,0.025972013,0.644422244,-4.425840969,CTHRC1,TRUE
LRRC17,1.612755356,0.926079908,3.52941106,0.005616181,0.644422244,-4.338929832,LRRC17,TRUE
GEM,1.595436778,1.674159132,3.708488401,0.004187025,0.644422244,-4.283939158,GEM,TRUE
ALG10B,1.59285606,0.99584802,2.646705309,0.024827245,0.644422244,-4.385521728,ALG10B,TRUE
NR4A2,1.590121989,0.686223974,3.522340895,0.005682082,0.644422244,-4.355518903,NR4A2,TRUE
ADIPOQ,1.585051874,0.86488817,1.399614314,0.192451302,0.717815465,-4.554177329,ADIPOQ,MIDDLE
NEURL1B,1.561162202,4.18799407,2.230644725,0.050286695,0.644422244,-4.218944481,NEURL1B,MIDDLE
